Crop,Disease,Symptoms,Solution
Indian Spinach,Leaf Spot (Cercospora),Small circular brown or black spots on leaves,"Remove infected leaves, fungicides like Copper oxychloride, crop rotation"
Indian Spinach,Fusarium Wilt,"Wilting of leaves, yellowing, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Indian Spinach,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, use resistant varieties, apply fungicides"
Indian Spinach,Bacterial Leaf Spot,"Water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seeds, copper-based bactericides, crop rotation"
Indian Spinach,Downy Spot (Peronospora),"Yellow spots on upper leaf surface, fuzzy gray growth underneath","Improve air circulation, apply fungicides like Mancozeb, crop rotation"
Indian Spinach,Root-Knot Nematode,"Swollen roots, stunted plants, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Indian Spinach,Leaf Blight,"Brown lesions on older leaves, leaf drop","Remove infected leaves, apply fungicides, crop rotation"
Indian Spinach,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Drumstick,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Drumstick,Leaf Spot (Cercospora),"Small circular brown spots on leaves, leaf drop","Remove infected leaves, apply Copper oxychloride sprays, crop rotation"
Drumstick,Fusarium Wilt,"Wilting of leaves, yellowing, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Drumstick,Bacterial Leaf Spot,"Water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seedlings, copper-based bactericides, crop rotation"
Drumstick,Root-Knot Nematode,"Swollen roots (galls), stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Drumstick,Anthracnose,"Dark sunken lesions on leaves, stems, and pods","Remove infected parts, apply fungicides like Carbendazim, crop rotation"
Drumstick,Powdery Scab,"Scabby lesions on roots (rare), reduced growth","Crop rotation, avoid waterlogged soil, use healthy seedlings"
Drumstick,Leaf Curl Virus,"Leaf curling, thickened leaves, stunted growth","Use virus-free seedlings, control whitefly vectors, remove infected plants"
Drumstick,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Drumstick,Stem Rot,"Soft brown lesions at the base of stem, wilting","Improve drainage, remove infected plants, fungicides like Carbendazim"
Taro,Leaf Blight,"Brown lesions on leaves, yellowing, leaf drop","Remove infected leaves, apply fungicides like Mancozeb, crop rotation"
Taro,Taro Leaf Spot,"Small dark circular spots on leaves, coalescing to large areas","Remove affected leaves, apply Copper oxychloride, crop rotation"
Taro,Fusarium Wilt,"Yellowing of leaves, wilting, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Taro,Bacterial Soft Rot,"Soft, water-soaked decay on corms, foul smell","Remove infected plants, proper drainage, avoid injury to corms"
Taro,Root-Knot Nematode,"Galls on roots and corms, stunted growth, yellowing","Use resistant varieties, soil solarization, nematicides"
Taro,Dasheen Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free corms, remove infected plants, control aphid vectors"
Taro,Anthracnose,Dark sunken lesions on leaves and petioles,"Remove infected parts, apply fungicides like Carbendazim, crop rotation"
Taro,Algal Leaf Spot,Small greenish-gray spots on leaf surface,"Remove infected leaves, improve air circulation, avoid overhead irrigation"
Taro,Phytophthora Blight,"Water-soaked lesions on leaves and corms, plant collapse","Improve drainage, remove infected plants, apply fungicides like Metalaxyl"
Taro,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Pointed Gourd,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Pointed Gourd,Downy Mildew,"Yellow angular spots on leaves, gray fungal growth underside","Grow resistant varieties, improve drainage, apply fungicides like Mancozeb"
Pointed Gourd,Anthracnose,"Dark sunken lesions on fruits, stems, and leaves","Remove infected parts, apply Carbendazim, crop rotation"
Pointed Gourd,Fusarium Wilt,"Wilting, yellowing leaves, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Pointed Gourd,Leaf Spot,"Small circular brown spots on leaves, leaf drop","Remove infected leaves, Copper oxychloride sprays, crop rotation"
Pointed Gourd,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Pointed Gourd,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, control insect vectors, remove infected plants"
Pointed Gourd,Fruit Rot,"Soft brown lesions on fruits, water-soaked decay","Remove infected fruits, improve drainage, apply fungicides like Mancozeb"
Pointed Gourd,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Pointed Gourd,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
